"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.100887333E0,-3.682342529E-2,2.150577850E0,9.132059784E0,9.381943133E0
1.110878333E0,-5.209167480E-2,2.166295166E0,9.242080994E0,9.492713489E0
1.120869333E0,-5.463638306E-2,2.211351471E0,9.416019287E0,9.672356470E0
1.130859333E0,-1.499880981E-1,2.380649414E0,9.567653961E0,9.860526882E0
1.140850333E0,-2.630030823E-1,2.471660156E0,9.487121429E0,9.807331317E0
1.150841333E0,-3.719764709E-1,2.439327393E0,9.386680298E0,9.705588681E0
1.160832333E0,-4.920268250E-1,2.123184814E0,8.713829498E0,8.982250758E0
1.170823333E0,-5.363346863E-1,1.936672668E0,8.484207001E0,8.718952021E0
1.180814333E0,-8.508306885E-1,2.083068237E0,9.163644104E0,9.435860290E0
1.190805333E0,-1.568438416E0,2.405946808E0,9.971364441E0,1.037673783E1
1.200796333E0,-2.117197266E0,2.631827087E0,1.003513184E1,1.058833835E1
1.210787333E0,-1.917811890E0,2.799628143E0,9.612111511E0,1.019355718E1
1.220778333E0,-1.366358643E0,2.875819702E0,9.540709991E0,1.005795317E1
1.230768333E0,-9.512718201E-1,2.753074951E0,9.855954437E0,1.027736239E1
1.240759333E0,-6.336323547E-1,2.533182220E0,1.021296204E1,1.054149400E1
1.250750333E0,-2.540217590E-1,2.439477081E0,1.043510010E1,1.071946312E1
1.260741333E0,1.531315613E-1,2.424208832E0,1.033316208E1,1.061482342E1
1.270732333E0,1.266366577E-1,2.315085754E0,9.954000549E0,1.022045918E1
1.280723333E0,-1.483415222E-1,2.177372131E0,9.593550110E0,9.838656327E0
1.290714333E0,-6.956034851E-1,2.162702637E0,9.519753571E0,9.787075914E0
1.300705333E0,-1.316661987E0,2.200873260E0,9.627080383E0,9.962836875E0
1.310696333E0,-1.669178925E0,2.282752991E0,9.970615997E0,1.036389419E1
1.320687333E0,-1.175056458E0,2.745590515E0,9.736353149E0,1.018408551E1
1.330677333E0,-1.592388611E0,2.744991760E0,1.022568558E1,1.070678882E1
1.340668333E0,-1.544188843E0,1.914668427E0,1.038570282E1,1.067301726E1
1.350659333E0,-1.430874481E0,1.494492188E0,9.865085449E0,1.007972319E1
1.360650333E0,-1.276395721E0,1.357077942E0,1.010758118E1,1.027784237E1
1.370641333E0,-9.575587463E-1,1.140478363E0,1.041474243E1,1.052066868E1
1.380632333E0,-3.956272888E-1,1.022074585E0,1.021460861E1,1.027323642E1
1.390623333E0,-6.227050781E-2,9.397457886E-1,9.718689880E0,9.764216956E0
1.400614333E0,8.412506104E-2,9.244775391E-1,9.381441193E0,9.427257003E0
1.410605333E0,2.514770508E-2,1.009949799E0,9.368567963E0,9.422881548E0
1.420596333E0,-1.484013977E0,1.817370758E0,9.791139221E0,1.006834352E1
1.430586333E0,-3.171454926E0,3.389102325E0,1.028571075E1,1.128450206E1
1.440577333E0,-2.415227509E0,3.481160889E0,1.043824356E1,1.126537765E1
1.450568333E0,-1.630708923E0,2.925666046E0,1.042851379E1,1.095320197E1
1.460559333E0,-8.424481201E-1,1.914069672E0,1.057685532E1,1.078161629E1
1.470550333E0,-4.834945679E-1,1.451082458E0,1.103385498E1,1.113936098E1
1.480540458E0,-4.117936707E-1,2.245630188E0,1.164548309E1,1.186716923E1
1.490531458E0,-6.265969849E-1,1.207538910E0,1.096859070E1,1.105263570E1
1.500522458E0,-1.465452576E0,4.305047607E-1,9.072034607E0,9.199711817E0
1.510513458E0,-2.479893036E0,9.178912354E-1,8.604257355E0,9.001424244E0
1.520504458E0,-2.179168396E0,1.622326355E0,9.430688782E0,9.814204430E0
1.530494458E0,-1.123563538E0,2.151326294E0,9.428593140E0,9.735962635E0
1.540485458E0,-6.975494385E-1,2.117945709E0,9.053173828E0,9.323745257E0
1.550476458E0,-7.074288940E-1,1.673819275E0,8.536298676E0,8.727572497E0
1.560467458E0,-8.062234497E-1,1.513053589E0,8.405919800E0,8.578975177E0
1.570458458E0,-7.741900635E-1,1.827250214E0,8.377928009E0,8.609755590E0
1.580449458E0,-4.914280701E-1,2.131567383E0,8.201744385E0,8.488444617E0
1.590440458E0,-1.513352966E-1,2.136507111E0,7.979905701E0,8.262351965E0
1.600431458E0,-3.861968994E-2,1.949396210E0,7.835007019E0,8.073968792E0
1.610422458E0,-3.086581421E-1,2.311942291E0,7.988587646E0,8.322131914E0
1.620412458E0,-4.758604431E-1,2.704875183E0,8.780141602E0,9.199656486E0
1.630403458E0,-7.821235657E-1,1.932631073E0,8.819210358E0,9.062298355E0
1.640394458E0,-1.062939606E0,1.686842194E0,8.629854126E0,8.857181235E0
1.650385458E0,-1.908531189E0,1.020278320E0,8.767567749E0,9.030708908E0
1.660376458E0,-1.370100861E0,2.076481934E0,9.085057526E0,9.419512930E0
1.670367458E0,-6.047424316E-1,3.350482635E0,9.567055206E0,1.015480146E1
1.680358458E0,-1.279988251E0,2.724035339E0,1.007464966E1,1.051462335E1
1.690349458E0,-1.194665680E0,1.397194519E0,1.042312500E1,1.058399326E1
1.700340458E0,-7.072792053E-1,8.821156311E-1,1.046443909E1,1.052534357E1
1.710331458E0,-1.085392914E0,1.332978058E0,1.101035385E1,1.114373367E1
1.720321458E0,-2.115550690E0,1.442699890E0,1.181972076E1,1.209391321E1
1.730312458E0,-1.903591461E0,6.188131714E-1,1.186028641E1,1.202800831E1
1.740303458E0,-1.139280853E0,3.183879089E-1,1.156345367E1,1.162380285E1
1.750294458E0,-8.708889771E-1,9.117539978E-1,1.142304565E1,1.149241989E1
1.760285458E0,-9.830058289E-1,1.231788483E0,1.107247467E1,1.118406450E1
1.770276458E0,-3.848497009E-1,9.379495239E-1,9.971963196E0,1.002336813E1
1.780267458E0,-6.433621216E-1,1.187330933E0,1.012659164E1,1.021623844E1
1.790258458E0,-1.181642761E0,1.611698456E0,1.012419662E1,1.031955468E1
1.800249458E0,-8.535250854E-1,2.085313568E0,9.481882324E0,9.745928902E0
1.810240458E0,-5.917195129E-1,1.974244537E0,8.995393982E0,9.228482344E0
1.820230458E0,-9.398954773E-1,1.701661377E0,8.668174438E0,8.883484848E0
1.830221458E0,-1.440304871E0,1.821711731E0,8.741222534E0,9.044450406E0
1.840212458E0,-1.498982849E0,1.795516205E0,8.762628021E0,9.069425443E0
1.850203458E0,-9.120533752E-1,1.145268402E0,8.089477844E0,8.220896111E0
1.860194458E0,-1.062191162E0,6.658154297E-1,7.852819977E0,7.952253884E0
1.870185458E0,-1.583706665E0,-1.462458801E-1,7.469167786E0,7.636621116E0
1.880176458E0,-9.189390564E-1,1.374292145E0,8.205037537E0,8.369932429E0
1.890167458E0,-1.238374786E0,2.540367279E0,1.048329987E1,1.085756023E1
1.900158458E0,9.895921326E-1,2.177521820E0,1.161644348E1,1.186012871E1
1.910149458E0,2.591411133E0,1.311123505E0,1.193363388E1,1.228194097E1
1.920139458E0,3.120710449E0,1.137035522E0,1.211011688E1,1.255733309E1
1.930130458E0,2.768043823E0,2.012864227E0,1.179277679E1,1.227938409E1
1.940121458E0,3.163820801E0,1.813778229E0,1.080303497E1,1.140197869E1
1.950112458E0,2.758613434E0,1.929487610E0,9.685458984E0,1.025382788E1
1.960103458E0,2.141297150E0,2.287093964E0,8.927135925E0,9.460957040E0
1.970094458E0,1.768721924E0,2.453398132E0,8.585845642E0,9.102982205E0
1.980085458E0,1.420695648E0,2.634671173E0,8.326285400E0,8.847988296E0
1.990076458E0,1.343755646E0,2.525099030E0,8.429720306E0,8.901796942E0
2.000067458E0,1.400487671E0,2.399360504E0,8.754395142E0,9.184646473E0
2.010057458E0,1.316661987E0,2.605032806E0,8.913963318E0,9.379687454E0
2.020048458E0,1.299597473E0,2.745440826E0,8.935518494E0,9.437684550E0
2.030039458E0,1.084045715E0,2.659369812E0,8.951684875E0,9.401067228E0
2.040030458E0,8.196954346E-1,2.618654480E0,8.664432220E0,9.088544306E0
2.050021458E0,5.578898621E-1,2.663710785E0,8.662635956E0,9.080080283E0
2.060012458E0,3.171903992E-1,2.670446777E0,8.886270905E0,9.284271987E0
2.070003458E0,2.314187622E-1,2.636916504E0,8.862919464E0,9.249768901E0
2.079994458E0,-5.275030518E-1,1.842069397E0,8.842861176E0,9.048075646E0
2.089985458E0,-1.793869629E0,7.719447327E-1,9.675729218E0,9.870846104E0
2.099976458E0,-1.071022797E0,1.022673340E0,9.550140381E0,9.664270893E0
