"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.421812917E-1,4.553081818E0,9.821675720E0,-4.846920776E0,1.186121870E1
9.521122917E-1,4.300407257E0,9.490414581E0,-4.763244781E0,1.145643803E1
9.620432917E-1,4.071084137E0,9.049880676E0,-4.675078125E0,1.096952240E1
9.719732917E-1,3.489693146E0,8.947343903E0,-4.400848389E0,1.056410847E1
9.819042917E-1,3.482957153E0,8.402626648E0,-3.810775452E0,9.861903197E0
9.918352917E-1,3.035387878E0,7.713759155E0,-2.908900909E0,8.785064848E0
1.001766292E0,2.574945374E0,7.314838715E0,-2.247276764E0,8.073875275E0
1.011696292E0,2.777923279E0,6.902895355E0,-1.915267181E0,7.683428298E0
1.021627292E0,3.263064423E0,6.529721375E0,-1.586550751E0,7.470073222E0
1.031558292E0,3.810925140E0,6.047723694E0,-6.228547668E-1,7.175378761E0
1.041489292E0,4.157753906E0,5.667065277E0,4.866380310E-1,7.045520774E0
1.051419292E0,4.555177460E0,5.674100647E0,1.192719727E0,7.373441543E0
1.061350292E0,4.556225281E0,6.314768372E0,1.729503479E0,7.976632791E0
1.071281292E0,4.155358887E0,7.250921631E0,2.059417419E0,8.607210470E0
1.081212292E0,3.799997864E0,8.120164032E0,2.615511017E0,9.339054853E0
1.091142292E0,3.863615570E0,8.754993896E0,3.255879364E0,1.010832300E1
1.101073292E0,3.770060120E0,8.849896545E0,3.496578827E0,1.023523745E1
1.111004292E0,3.086132355E0,8.482410736E0,3.024310913E0,9.519556781E0
1.120934292E0,2.582130432E0,8.123906250E0,1.733694763E0,8.698904980E0
1.130865292E0,2.786455536E0,7.766299896E0,2.134561157E-1,8.253805913E0
1.140796292E0,3.417543182E0,7.188052368E0,-9.223818970E-1,8.012395810E0
1.150727542E0,4.424499207E0,6.136040039E0,-1.559756470E0,7.723989956E0
1.160657542E0,5.646557922E0,4.770280151E0,-1.961371307E0,7.647624893E0
1.170588542E0,6.499334564E0,4.872816925E0,-2.026036835E0,8.372008111E0
1.180519542E0,6.146518250E0,6.320905609E0,-6.619235229E-1,8.841474824E0
1.190450542E0,4.913681946E0,9.597741394E0,1.553768921E-1,1.078355471E1
1.200380542E0,2.489772491E0,1.442595108E1,-3.065774689E0,1.495680467E1
1.210311542E0,2.384391632E0,2.000559814E1,-8.839268646E0,2.200095341E1
1.220242542E0,2.452949066E0,2.109173950E1,-1.019484970E1,2.355447717E1
1.230173542E0,2.799179077E-2,1.307785446E1,-7.679181061E0,1.516577999E1
1.240103542E0,-1.648222504E0,5.874384155E0,-6.329437866E0,8.791291733E0
1.250034542E0,-1.830094299E0,4.328997803E0,-6.495442657E0,8.017496020E0
1.259965542E0,2.716850281E-1,6.514602814E0,-5.341492310E0,8.428843495E0
1.269896542E0,3.413800964E0,1.083461929E1,-3.299139404E0,1.182908843E1
1.279826542E0,6.095175018E0,1.580233887E1,-3.592379608E0,1.731387488E1
1.289757542E0,6.904691620E0,1.837324265E1,-4.171076202E0,2.006610795E1
1.299688542E0,4.022884369E0,1.854972565E1,-4.117337952E0,1.942236834E1
1.309619542E0,2.619552612E-1,1.686213501E1,-3.611988831E0,1.724664260E1
1.319549542E0,-2.074685669E0,1.425291092E1,-3.551215210E0,1.483445044E1
1.329480542E0,-3.057092743E0,1.242895386E1,-4.231101379E0,1.348061308E1
1.339411542E0,-2.996618500E0,1.065184937E1,-4.796924744E0,1.206035258E1
1.349342542E0,-1.448687439E0,8.948092346E0,-4.418811035E0,1.008429189E1
1.359272542E0,-1.754351807E-1,7.612419891E0,-3.712729340E0,8.471367850E0
1.369203542E0,1.000968475E0,6.539301453E0,-2.769540710E0,7.171802920E0
1.379134542E0,2.963686981E0,5.777685242E0,-2.039957886E0,6.806358457E0
1.389065542E0,4.287833405E0,5.266198883E0,-1.670675812E0,6.993534418E0
1.398995542E0,5.061424713E0,4.643194427E0,-1.389859772E0,7.007780305E0
1.408926542E0,6.071524200E0,4.145629120E0,-1.178948364E0,7.445775054E0
1.418857542E0,6.212530975E0,3.973786469E0,-1.174906769E0,7.467725620E0
1.428787542E0,5.697452087E0,4.037553864E0,-8.135581970E-1,7.030268731E0
1.438718542E0,5.143304443E0,4.714446259E0,-4.938230896E-1,6.994529674E0
1.448649542E0,4.763394470E0,5.925278320E0,-5.038522339E-1,7.619233369E0
